datetime;total_votes;Lay_Lady_Lay;rockamark;not;sly2m;Qumnica;Deneo;voklo;akuaku;kotophalk;kiLstrom
2019-10-09 04:55:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:56:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:57:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:58:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 04:59:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:00:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:01:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:02:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:03:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:04:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:05:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:06:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:07:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:08:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:09:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:10:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:11:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:12:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:13:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:14:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:15:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:16:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:17:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:18:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:19:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:20:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:21:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:22:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:23:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:24:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:25:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:26:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:27:58;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:28:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:29:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:30:59;33;3;6;4;0;4;3;3;0;2;1
2019-10-09 05:31:58;34;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:32:59;34;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:33:59;34;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:34:58;34;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:35:59;34;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:36:59;34;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:37:59;34;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:38:58;34;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:39:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:40:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:41:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:42:58;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:43:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:44:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:45:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:46:58;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:47:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:48:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:49:58;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:50:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:51:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:52:58;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:53:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:54:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:55:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:56:58;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:57:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:58:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 05:59:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:00:58;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:01:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:02:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:03:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:04:58;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:05:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:06:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:07:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:08:58;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:09:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:10:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:11:59;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:12:58;35;3;7;4;0;4;3;3;0;2;1
2019-10-09 06:13:59;36;3;7;4;0;4;4;3;0;2;0
2019-10-09 06:14:59;36;3;7;4;0;4;4;3;0;2;0
2019-10-09 06:15:59;36;3;7;4;0;4;4;3;0;2;0
2019-10-09 06:16:58;37;3;8;4;0;4;4;3;0;2;0
2019-10-09 06:17:59;37;3;8;4;0;4;4;3;0;2;0
2019-10-09 06:18:59;37;3;8;4;0;4;4;3;0;2;0
2019-10-09 06:19:58;37;3;8;4;0;4;4;3;0;2;0
2019-10-09 06:20:59;37;3;8;4;0;4;4;3;0;2;0
2019-10-09 06:21:59;37;3;8;4;0;4;4;3;0;2;0
2019-10-09 06:22:59;37;3;8;4;0;4;4;3;0;2;0
2019-10-09 06:23:58;37;3;8;4;0;4;4;3;0;2;0
2019-10-09 06:24:59;37;3;8;4;0;4;4;3;0;2;0
2019-10-09 06:25:59;38;3;8;4;0;5;4;3;0;2;0
