datetime;total_votes;ante;Tae4ka;bf6;wintercyclone;rockamark;Helengar;MsRobinson;BlackIrony;gelatelno;Salt
2020-02-26 03:23:59;42;14;0;7;5;1;1;3;2;1;0
2020-02-26 03:24:58;42;14;0;7;5;1;1;3;2;1;0
2020-02-26 03:25:59;42;14;0;7;5;1;1;3;2;1;0
2020-02-26 03:26:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:27:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:28:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:29:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:30:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:31:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:32:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:33:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:34:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:35:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:36:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:37:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:38:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:39:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:40:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:41:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:42:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:43:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:44:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:45:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:46:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:47:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:48:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:50:00;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:50:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:51:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:52:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:53:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:54:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:56:00;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:56:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:57:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:58:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 03:59:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:00:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:01:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:02:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:03:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:04:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:05:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:06:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:07:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:08:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:09:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:10:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:11:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:12:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:13:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:14:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:15:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:16:58;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:17:59;43;14;0;7;5;1;1;3;3;1;0
2020-02-26 04:18:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:19:58;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:20:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:21:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:22:58;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:23:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:24:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:25:58;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:26:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:27:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:28:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:29:58;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:30:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:31:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:32:58;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:33:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:34:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:36:00;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:36:58;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:37:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:38:58;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:39:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:40:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:41:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:42:58;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:43:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:44:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:45:58;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:46:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:47:58;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:48:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:49:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:50:59;44;15;0;7;5;1;1;3;3;1;0
2020-02-26 04:51:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 04:52:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 04:53:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 04:54:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 04:55:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 04:56:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 04:57:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 04:58:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 04:59:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:00:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:01:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:02:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:03:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:04:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:05:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:06:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:07:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:08:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:09:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:10:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:11:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:12:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:13:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:14:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:15:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:16:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:17:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:18:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:19:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:20:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:21:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:22:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:23:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:24:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:25:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:26:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:27:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:28:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:29:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:30:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:31:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:32:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:33:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:34:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:35:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:36:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:37:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:38:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:40:00;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:40:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:41:59;45;16;0;7;5;1;1;3;3;1;0
