datetime;total_votes;pavelomg;DrumBox;Dirtylieutenant;kamutahirovata;rockamark;megalomaniac;Zabava;mvgolubev;Lay_Lady_Lay;Palad1n
2019-12-25 04:57:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:58:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 04:59:58;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:00:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:01:58;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:02:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:03:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:04:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:05:58;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:06:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:07:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:08:58;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:09:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:10:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:11:58;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:12:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:13:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:14:59;48;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:15:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:16:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:17:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:18:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:19:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:20:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:21:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:22:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:23:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:24:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:25:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:26:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:27:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:28:59;49;0;9;7;2;5;3;5;2;2;3
