datetime;total_votes;PhaoBao;Есения;bigmouse;Umgewandelt;Trudofobermeins;brammator;Patagonia;kotophalk;bf6;Salt
2020-02-12 05:13:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:14:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:15:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:16:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:17:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:18:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:19:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:20:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:21:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:22:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:23:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:24:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:25:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:26:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:27:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:28:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:29:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:30:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:31:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:32:58;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:33:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:34:59;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:36:00;29;3;7;4;0;0;3;0;1;0;0
2020-02-12 05:36:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:37:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:38:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:39:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:40:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:41:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:42:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:43:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:44:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:45:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:46:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:47:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:48:58;30;3;7;4;0;0;3;0;2;0;0
