datetime;total_votes;jovan;pashkowski;KOCTOPE3;paramed;pupsique;Helengar;yachik;bigmouse;praktik;Есения
2019-05-01 07:49:59;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:50:59;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:51:58;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:52:59;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:53:59;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:54:58;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:55:59;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:56:58;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:57:59;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 07:59:59;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 08:00:58;52;23;4;5;4;0;0;3;0;0;1
2019-05-01 08:01:59;53;24;4;5;4;0;0;3;0;0;1
2019-05-01 08:02:58;53;24;4;5;4;0;0;3;0;0;1
2019-05-01 08:03:59;53;24;4;5;4;0;0;3;0;0;1
2019-05-01 08:04:59;53;24;4;5;4;0;0;3;0;0;1
2019-05-01 08:05:59;53;24;4;5;4;0;0;3;0;0;1
2019-05-01 08:06:58;53;24;4;5;4;0;0;3;0;0;1
2019-05-01 08:07:59;53;24;4;5;4;0;0;3;0;0;1
2019-05-01 08:08:59;53;24;4;5;4;0;0;3;0;0;1
2019-05-01 08:09:58;53;24;4;5;4;0;0;3;0;0;1
2019-05-01 08:10:59;54;25;4;5;4;0;0;3;0;0;1
2019-05-01 08:11:59;55;26;4;5;4;0;0;3;0;0;1
2019-05-01 08:12:58;55;26;4;5;4;0;0;3;0;0;1
2019-05-01 08:13:59;55;26;4;5;4;0;0;3;0;0;1
2019-05-01 08:14:59;55;26;4;5;4;0;0;3;0;0;1
2019-05-01 08:15:58;55;26;4;5;4;0;0;3;0;0;1
2019-05-01 08:16:59;55;26;4;5;4;0;0;3;0;0;1
2019-05-01 08:17:59;57;27;5;5;4;0;0;3;0;1;0
2019-05-01 08:18:58;57;27;5;5;4;0;0;3;0;1;0
2019-05-01 08:19:59;57;27;5;5;4;0;0;3;0;1;0
2019-05-01 08:20:59;58;27;5;6;4;0;0;3;0;1;1
2019-05-01 08:21:58;58;27;5;6;4;0;0;3;0;1;1
2019-05-01 08:22:59;58;27;5;6;4;0;0;3;0;1;1
2019-05-01 08:23:59;58;27;5;6;4;0;0;3;0;1;1
2019-05-01 08:24:58;59;27;5;6;4;0;0;3;0;1;1
2019-05-01 08:25:59;59;27;5;6;4;0;0;3;0;1;1
2019-05-01 08:26:58;59;27;5;6;4;0;0;3;0;1;1
2019-05-01 08:27:59;59;27;5;6;4;0;0;3;0;1;1
2019-05-01 08:28:59;59;27;5;6;4;0;0;3;0;1;1
2019-05-01 08:29:58;60;27;6;6;4;0;0;3;0;1;0
2019-05-01 08:30:59;60;27;6;6;4;0;0;3;0;1;0
2019-05-01 08:31:59;60;27;6;6;4;0;0;3;0;1;0
2019-05-01 08:32:58;60;27;6;6;4;0;0;3;0;1;0
2019-05-01 08:33:59;61;28;6;6;4;0;0;3;0;1;0
2019-05-01 08:34:59;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:35:58;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:36:59;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:37:59;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:38:58;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:39:59;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:40:59;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:41:58;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:42:59;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:43:59;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:44:58;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:45:59;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:46:59;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:47:58;62;29;6;6;4;0;0;3;0;1;0
2019-05-01 08:48:59;63;29;6;7;4;0;0;3;0;1;1
2019-05-01 08:49:58;64;29;7;7;4;0;0;3;0;1;0
2019-05-01 08:50:59;64;29;7;7;4;0;0;3;0;1;0
2019-05-01 08:51:59;65;29;7;7;5;0;0;3;0;1;0
2019-05-01 08:52:58;66;30;7;7;5;0;0;3;0;1;0
2019-05-01 08:53:59;66;30;7;7;5;0;0;3;0;1;0
2019-05-01 08:54:58;66;30;7;7;5;0;0;3;0;1;0
2019-05-01 08:55:59;66;30;7;7;5;0;0;3;0;1;0
2019-05-01 08:56:59;66;30;7;7;5;0;0;3;0;1;0
2019-05-01 08:57:58;66;30;7;7;5;0;0;3;0;1;0
2019-05-01 08:58:59;66;30;7;7;5;0;0;3;0;1;0
2019-05-01 08:59:58;67;31;7;7;5;0;0;3;0;1;0
2019-05-01 09:00:59;67;31;7;7;5;0;0;3;0;1;0
2019-05-01 09:01:58;67;31;7;7;5;0;0;3;0;1;0
2019-05-01 09:02:59;68;32;7;7;5;0;0;3;0;1;0
2019-05-01 09:03:59;68;32;7;7;5;0;0;3;0;1;0
2019-05-01 09:04:58;68;32;7;7;5;0;0;3;0;1;0
2019-05-01 09:05:59;68;32;7;7;5;0;0;3;0;1;0
2019-05-01 09:06:59;68;32;7;7;5;0;0;3;0;1;0
2019-05-01 09:07:58;69;33;7;7;5;0;0;3;0;1;0
2019-05-01 09:08:59;70;33;7;7;5;0;0;4;0;1;0
2019-05-01 09:09:59;70;33;7;7;5;0;0;4;0;1;0
2019-05-01 09:10:58;70;33;7;7;5;0;0;4;0;1;0
2019-05-01 09:11:59;70;33;7;7;5;0;0;4;0;1;0
2019-05-01 09:12:59;71;34;7;7;5;0;0;4;0;1;0
2019-05-01 09:13:58;72;35;7;7;5;0;0;4;0;1;0
2019-05-01 09:14:59;72;35;7;7;5;0;0;4;0;1;0
2019-05-01 09:15:58;72;35;7;7;5;0;0;4;0;1;0
2019-05-01 09:16:59;72;35;7;7;5;0;0;4;0;1;0
2019-05-01 09:17:59;72;35;7;7;5;0;0;4;0;1;0
2019-05-01 09:18:58;72;35;7;7;5;0;0;4;0;1;0
2019-05-01 09:19:59;72;35;7;7;5;0;0;4;0;1;0
2019-05-01 09:20:59;72;35;7;7;5;0;0;4;0;1;0
2019-05-01 09:21:58;73;36;7;7;5;0;0;4;0;1;0
2019-05-01 09:22:59;73;36;7;7;5;0;0;4;0;1;0
2019-05-01 09:23:59;73;36;7;7;5;0;0;4;0;1;0
2019-05-01 09:24:58;73;36;7;7;5;0;0;4;0;1;0
2019-05-01 09:25:59;73;36;7;7;5;0;0;4;0;1;0
2019-05-01 09:26:59;74;37;7;7;5;0;0;4;0;1;0
2019-05-01 09:27:58;74;37;7;7;5;0;0;4;0;1;0
2019-05-01 09:28:59;74;37;7;7;5;0;0;4;0;1;0
