datetime;total_votes;Good;Tomintoul;megalomaniac;KOCTOPE3;Duran;Mindsplitter;Villanelle;Shambala;quick_justice;Rumpelstilzchen
2021-01-13 04:29:58;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:30:59;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:31:58;87;0;36;13;2;0;3;7;3;0;2
2021-01-13 04:32:59;88;0;37;13;2;0;3;7;3;0;2
2021-01-13 04:33:58;88;0;37;13;2;0;3;7;3;0;2
2021-01-13 04:34:59;88;0;37;13;2;0;3;7;3;0;2
2021-01-13 04:35:58;88;0;37;13;2;0;3;7;3;0;2
2021-01-13 04:36:59;88;0;37;13;2;0;3;7;3;0;2
2021-01-13 04:37:59;88;0;37;13;2;0;3;7;3;0;2
2021-01-13 04:38:58;88;0;37;13;2;0;3;7;3;0;2
2021-01-13 04:39:59;88;0;37;13;2;0;3;7;3;0;2
2021-01-13 04:40:59;88;0;37;13;2;0;3;7;3;0;2
2021-01-13 04:41:58;88;0;37;13;2;0;3;7;3;0;2
2021-01-13 04:42:59;88;0;37;13;2;0;3;7;3;0;2
2021-01-13 04:43:59;88;0;37;13;2;0;3;7;3;0;2
2021-01-13 04:44:58;89;0;38;13;2;0;3;7;3;0;2
2021-01-13 04:45:59;89;0;38;13;2;0;3;7;3;0;2
2021-01-13 04:46:58;89;0;38;13;2;0;3;7;3;0;2
2021-01-13 04:47:59;89;0;38;13;2;0;3;7;3;0;2
2021-01-13 04:48:59;89;0;38;13;2;0;3;7;3;0;2
2021-01-13 04:49:58;90;0;39;13;2;0;3;7;3;0;2
2021-01-13 04:50:59;90;0;39;13;2;0;3;7;3;0;2
2021-01-13 04:51:58;90;0;39;13;2;0;3;7;3;0;2
2021-01-13 04:52:59;90;0;39;13;2;0;3;7;3;0;2
2021-01-13 04:53:59;90;0;39;13;2;0;3;7;3;0;2
2021-01-13 04:54:58;91;0;40;13;2;0;3;7;3;0;2
2021-01-13 04:55:59;91;0;40;13;2;0;3;7;3;0;2
2021-01-13 04:56:59;91;0;40;13;2;0;3;7;3;0;2
2021-01-13 04:57:58;91;0;40;13;2;0;3;7;3;0;2
2021-01-13 04:58:59;91;0;40;13;2;0;3;7;3;0;2
2021-01-13 04:59:58;91;0;40;13;2;0;3;7;3;0;2
2021-01-13 05:00:59;91;0;40;13;2;0;3;7;3;0;2
2021-01-13 05:01:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:02:58;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:03:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:04:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:05:58;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:06:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:07:58;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:08:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:09:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:10:58;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:11:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:12:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:13:58;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:14:59;91;0;39;13;2;0;3;8;3;0;2
