datetime;total_votes;Wiedemann;orlando;Lay_Lady_Lay;norpo;kaiL;Dirtylieutenant;xtend;Etinilestradiol;Palad1n;asap
2019-12-11 03:28:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:29:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:30:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:31:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:32:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:33:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:34:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:35:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:36:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:37:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:38:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:39:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:40:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:41:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:42:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:43:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:44:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:45:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:46:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:47:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:48:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:49:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:50:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:51:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:52:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:53:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:54:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:55:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:56:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:57:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:58:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 03:59:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:00:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:01:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:02:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:03:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:04:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:05:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:06:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:07:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:08:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:09:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:10:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:11:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:12:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:13:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:14:58;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:15:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:16:59;30;7;0;1;4;0;3;2;2;1;0
2019-12-11 04:17:58;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:18:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:19:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:20:58;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:21:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:22:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:23:58;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:24:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:25:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:26:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:27:58;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:28:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:29:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:30:58;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:31:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:32:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:33:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:34:58;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:35:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:36:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:37:58;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:38:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:39:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:40:58;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:41:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:42:59;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:43:58;29;7;0;0;4;0;3;2;2;0;0
2019-12-11 04:44:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:45:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:46:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:47:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:48:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:49:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:50:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:51:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:52:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:53:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:54:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:55:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:56:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:57:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:58:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 04:59:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:00:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:01:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:02:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:03:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:04:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:05:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:06:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:07:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:08:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:09:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:10:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:11:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:12:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:13:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:14:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:15:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:16:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:17:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:18:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:19:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:20:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:21:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:22:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:23:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:24:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:25:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:26:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:27:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:28:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:29:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:30:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:31:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:32:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:33:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:34:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:35:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:36:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:37:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:38:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:39:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:40:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:41:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:42:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:43:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:44:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:45:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:46:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:47:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:48:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:49:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:50:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:51:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:52:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:53:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:54:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:55:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:56:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:57:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:58:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 05:59:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:00:59;30;8;0;0;4;0;3;2;2;0;0
