datetime;total_votes;cmapukocmankypum;KOCTOPE3;pupsique;rockamark;paramed;brammator;Есения;tutabrain;kilogramm;navalny
2019-05-22 06:16:58;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:17:59;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:18:58;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:19:59;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:20:58;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:21:59;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:22:59;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:23:58;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:24:59;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:25:59;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:26:58;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:27:59;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:28:59;26;3;5;0;3;0;3;0;0;2;0
2019-05-22 06:29:58;26;3;5;0;3;0;3;0;0;2;0
