datetime;total_votes;akuaku;telegraf;redslot;Есения;Kolbasevich;Daedra;kilogramm;vjik;BlackTulip;megaslowpoke
2020-06-10 03:59:58;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:00:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:01:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:02:58;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:03:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:04:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:05:58;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:06:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:07:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:08:58;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:09:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:10:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:11:58;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:12:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:13:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:14:58;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:15:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:16:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:17:58;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:18:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:19:59;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:20:58;36;12;10;4;1;0;1;1;0;2;0
2020-06-10 04:21:59;37;12;10;4;1;0;2;1;0;2;0
2020-06-10 04:22:58;37;12;10;4;1;0;2;1;0;2;0
2020-06-10 04:23:59;37;12;10;4;1;0;2;1;0;2;0
2020-06-10 04:24:58;37;12;10;4;1;0;2;1;0;2;0
2020-06-10 04:25:59;37;12;10;4;1;0;2;1;0;2;0
2020-06-10 04:27:00;37;12;10;4;1;0;2;1;0;2;0
2020-06-10 04:27:58;37;12;10;4;1;0;2;1;0;2;0
2020-06-10 04:28:59;37;12;10;4;1;0;2;1;0;2;0
2020-06-10 04:29:59;37;12;10;4;1;0;2;1;0;2;0
2020-06-10 04:30:58;37;12;10;4;1;0;2;1;0;2;0
2020-06-10 04:31:59;39;12;10;4;2;0;2;1;0;2;0
2020-06-10 04:32:59;39;12;10;4;2;0;2;1;0;2;0
2020-06-10 04:33:58;39;12;10;4;2;0;2;1;0;2;0
2020-06-10 04:34:59;39;12;10;4;2;0;2;1;0;2;0
2020-06-10 04:35:58;39;12;10;4;2;0;2;1;0;2;0
2020-06-10 04:36:59;39;12;10;4;2;0;2;1;0;2;0
2020-06-10 04:37:59;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:38:58;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:39:59;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:40:58;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:41:59;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:42:58;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:43:59;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:44:58;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:45:59;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:46:58;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:47:59;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:48:58;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:49:59;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:50:58;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:51:59;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:52:59;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:53:58;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:54:59;40;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:55:59;41;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:56:58;41;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:57:59;41;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:58:59;41;13;10;4;2;0;2;1;0;2;0
2020-06-10 04:59:58;41;13;10;4;2;0;2;1;0;2;0
2020-06-10 05:00:59;41;13;10;4;2;0;2;1;0;2;0
2020-06-10 05:01:58;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:02:59;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:03:59;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:04:58;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:05:59;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:06:59;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:07:58;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:08:59;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:09:59;42;14;10;4;2;0;2;1;0;2;0
