datetime;total_votes;KT;Volodya_FM;quick_justice;pereehal;navalny;Terkin;KOCTOPE3;Hexadecachoron;bf6;Kolbasevich
2020-07-08 05:52:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:53:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:54:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:55:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:56:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:57:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:58:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 05:59:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 06:00:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 06:01:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 06:02:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 06:03:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 06:04:58;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 06:05:59;86;28;16;15;3;0;1;2;2;0;0
2020-07-08 06:06:59;87;29;16;15;3;0;1;2;2;0;0
2020-07-08 06:07:58;87;29;16;15;3;0;1;2;2;0;0
2020-07-08 06:08:59;87;29;16;15;3;0;1;2;2;0;0
2020-07-08 06:09:59;87;29;16;15;3;0;1;2;2;0;0
2020-07-08 06:10:58;87;29;16;15;3;0;1;2;2;0;0
2020-07-08 06:11:59;87;29;16;15;3;0;1;2;2;0;0
2020-07-08 06:12:59;87;29;16;15;3;0;1;2;2;0;0
2020-07-08 06:13:58;87;29;16;15;3;0;1;2;2;0;0
2020-07-08 06:14:59;87;29;16;15;3;0;1;2;2;0;0
2020-07-08 06:15:59;87;29;16;15;3;0;1;2;2;0;0
2020-07-08 06:16:58;87;29;16;15;3;0;1;2;2;0;0
2020-07-08 06:17:59;87;29;16;15;3;0;1;2;2;0;0
2020-07-08 06:18:59;88;30;16;15;3;0;1;2;2;0;0
2020-07-08 06:19:58;89;30;16;15;3;0;1;3;2;0;0
2020-07-08 06:20:59;89;30;16;15;3;0;1;3;2;0;0
2020-07-08 06:21:58;89;30;16;15;3;0;1;3;2;0;0
2020-07-08 06:23:00;89;30;16;15;3;0;1;3;2;0;0
2020-07-08 06:23:58;89;30;16;15;3;0;1;3;2;0;0
2020-07-08 06:24:59;89;30;16;15;3;0;1;3;2;0;0
2020-07-08 06:25:59;89;30;16;15;3;0;1;3;2;0;0
2020-07-08 06:26:58;89;30;16;15;3;0;1;3;2;0;0
2020-07-08 06:27:59;89;30;16;15;3;0;1;3;2;0;0
2020-07-08 06:28:59;89;30;16;15;3;0;1;3;2;0;0
