datetime;total_votes;mahinaci9;Hactar;Volodya_FM;Yardrey;dennou;navalny;quick_justice;shamanka2_0;Mindsplitter;Haktar
2020-11-04 04:55:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:56:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:57:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:58:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 04:59:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:00:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:01:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:02:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:03:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:04:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:05:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:06:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:07:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:08:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:09:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:10:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:11:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:12:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:13:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:14:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:15:58;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:16:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:17:59;88;34;9;14;3;4;3;0;0;4;2
2020-11-04 05:18:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:19:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:20:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:21:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:22:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:23:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:24:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:25:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:26:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:27:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:28:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:29:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:30:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:31:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:32:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:33:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:34:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:35:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:36:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:37:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:38:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:39:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:40:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:41:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:42:59;89;35;9;14;3;4;3;0;0;4;2
