datetime;total_votes;norpo;shamanka2_0;pavelomg;Есения;Bf109H;navalny;Rumpelstilzchen;Norbert Bebrueze;UndeadMoroz;Митяй
2020-09-30 05:28:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:29:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:30:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:31:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:32:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:33:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:34:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:35:58;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:36:59;36;4;0;2;5;0;0;3;1;2;0
2020-09-30 05:37:58;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:38:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:39:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:40:58;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:41:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:42:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:43:58;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:44:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:45:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:46:58;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:47:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:48:58;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:49:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:50:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:51:58;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:52:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:53:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:54:58;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:55:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:56:58;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:57:59;37;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:58:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 05:59:58;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:00:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:01:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:02:58;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:03:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:04:58;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:05:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:06:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:07:58;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:08:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:09:58;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:10:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:11:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:12:58;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:13:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:15:00;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:15:58;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:16:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:17:58;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:18:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:19:58;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:20:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:21:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:22:58;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:23:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:24:59;38;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:25:58;39;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:26:59;39;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:27:59;39;5;0;2;5;0;0;3;1;2;0
2020-09-30 06:28:58;40;6;0;2;5;0;0;3;1;2;0
2020-09-30 06:29:59;41;7;0;2;5;0;0;3;1;2;0
2020-09-30 06:30:59;41;7;0;2;5;0;0;3;1;2;0
