datetime;total_votes;tutabrain;rockamark;pupsique;markII;Есения;NoEndOutcry;XASSA;kilogramm;kotophalk;wintercyclone
2019-05-15 03:45:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:46:58;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:47:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:48:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:49:59;30;0;7;3;2;0;0;1;3;0;3
2019-05-15 03:50:58;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 03:51:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 03:52:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 03:53:58;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 03:54:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 03:56:00;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 03:56:58;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 03:58:00;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 03:58:58;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 03:59:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:00:58;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:01:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:02:58;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:03:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:04:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:05:58;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:06:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:07:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:08:58;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:09:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:10:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:11:58;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:12:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:13:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:14:58;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:15:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:16:58;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:17:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:18:59;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:19:58;29;0;7;3;2;0;0;0;3;1;3
2019-05-15 04:20:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:21:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:22:58;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:23:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:24:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:25:58;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:26:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:27:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:28:58;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:29:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:30:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:31:58;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:32:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:33:58;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:34:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:35:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:36:58;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:37:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:38:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:39:58;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:40:59;30;0;8;3;2;0;0;0;3;1;3
2019-05-15 04:41:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:42:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:43:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:44:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:45:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:46:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:47:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:48:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:49:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:50:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:51:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:52:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:53:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:54:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:55:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:56:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:57:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:58:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 04:59:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:00:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:01:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:02:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:03:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:04:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:05:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:06:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:07:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:08:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:09:59;31;0;8;4;2;0;0;0;3;1;3
