datetime;total_votes;GlobetrotterXL;shamanka2_0;Yardrey;navalny;Fill;kross;xtend;Mapm;mama_p_zh;kotophalk
2020-11-25 04:34:59;50;15;13;3;3;2;4;0;0;0;2
2020-11-25 04:35:58;50;15;13;3;3;2;4;0;0;0;2
2020-11-25 04:36:59;50;15;13;3;3;2;4;0;0;0;2
2020-11-25 04:37:58;50;15;13;3;3;2;4;0;0;0;2
2020-11-25 04:38:59;50;15;13;3;3;2;4;0;0;0;2
2020-11-25 04:39:59;50;15;13;3;3;2;4;0;0;0;2
2020-11-25 04:40:58;50;15;13;3;3;2;4;0;0;0;2
2020-11-25 04:41:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:42:58;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:43:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:44:58;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:45:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:46:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:47:58;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:48:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:49:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:50:58;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:51:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:52:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:53:58;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:54:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:55:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:56:58;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:57:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:58:58;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 04:59:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 05:00:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 05:01:58;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 05:02:59;51;15;13;3;3;2;4;1;0;1;2
2020-11-25 05:03:59;52;16;13;3;3;2;4;1;0;1;2
2020-11-25 05:04:58;52;16;13;3;3;2;4;1;0;1;2
2020-11-25 05:05:59;52;16;13;3;3;2;4;1;0;1;2
2020-11-25 05:06:59;52;16;13;3;3;2;4;1;0;1;2
2020-11-25 05:07:58;52;16;13;3;3;2;4;1;0;1;2
2020-11-25 05:08:59;52;16;13;3;3;2;4;1;0;1;2
2020-11-25 05:09:59;52;16;13;3;3;2;4;1;0;1;2
2020-11-25 05:10:58;53;16;13;3;3;3;4;1;0;0;2
2020-11-25 05:11:59;53;16;13;3;3;3;4;1;0;0;2
2020-11-25 05:12:59;53;16;13;3;3;3;4;1;0;0;2
