datetime;total_votes;Oleum;kross;Der_Sturmer;XASSA;UnbeabMoroz;Есения;NAFA;BlackIrony;xtend;Shilov
2020-01-08 05:40:58;51;12;20;4;2;1;2;0;0;2;2
2020-01-08 05:41:59;51;12;20;4;2;1;2;0;0;2;2
2020-01-08 05:42:59;51;12;20;4;2;1;2;0;0;2;2
2020-01-08 05:43:58;51;12;20;4;2;1;2;0;0;2;2
2020-01-08 05:44:59;51;12;20;4;2;1;2;0;0;2;2
2020-01-08 05:45:59;51;12;20;4;2;1;2;0;0;2;2
2020-01-08 05:46:59;51;12;20;4;2;1;2;0;0;2;2
2020-01-08 05:47:58;51;12;20;4;2;1;2;0;0;2;2
2020-01-08 05:48:59;52;12;21;4;2;1;2;0;0;2;2
2020-01-08 05:49:59;52;12;21;4;2;1;2;0;0;2;2
2020-01-08 05:50:58;52;12;21;4;2;1;2;0;0;2;2
2020-01-08 05:51:59;52;12;21;4;2;1;2;0;0;2;2
2020-01-08 05:52:59;52;12;21;4;2;1;2;0;0;2;2
2020-01-08 05:53:58;52;12;21;4;2;1;2;0;0;2;2
2020-01-08 05:54:59;52;12;21;4;2;1;2;0;0;2;2
2020-01-08 05:55:59;52;12;21;4;2;1;2;0;0;2;2
2020-01-08 05:56:58;52;12;21;4;2;1;2;0;0;2;2
2020-01-08 05:57:59;52;12;21;4;2;1;2;0;0;2;2
2020-01-08 05:58:59;52;12;21;4;2;1;2;0;0;2;2
2020-01-08 05:59:59;53;12;21;4;2;2;2;0;0;2;2
2020-01-08 06:00:58;53;12;21;4;2;2;2;0;0;2;2
2020-01-08 06:01:59;53;12;21;4;2;2;2;0;0;2;2
2020-01-08 06:02:59;53;12;21;4;2;2;2;0;0;2;2
2020-01-08 06:03:59;53;12;21;4;2;2;2;0;0;2;2
2020-01-08 06:04:58;53;12;21;4;2;2;2;0;0;2;2
2020-01-08 06:05:59;53;12;21;4;2;2;2;0;0;2;2
2020-01-08 06:06:59;53;12;21;4;2;2;2;0;0;2;2
2020-01-08 06:07:58;53;12;21;4;2;2;2;0;0;2;2
2020-01-08 06:08:59;53;12;21;4;2;2;2;0;0;2;2
2020-01-08 06:09:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:10:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:11:58;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:12:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:13:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:14:58;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:15:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:16:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:17:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:18:58;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:19:58;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:20:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:21:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:22:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:23:58;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:24:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:25:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:26:59;54;12;21;4;2;3;2;0;0;2;2
2020-01-08 06:27:58;54;12;21;4;2;3;2;0;0;2;2
