datetime;total_votes;Private_Ryan;Shambala;voklo;praktik;SoulMaker;gelatelno;not;zgushonka;xiro;m0rf
2019-10-23 04:09:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:10:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:11:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:12:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:13:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:14:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:15:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:16:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:17:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:18:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:19:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:20:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:21:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:22:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:23:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:24:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:25:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:26:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:27:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:28:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:29:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:30:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:32:00;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:32:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:33:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:34:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:35:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:36:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:37:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:38:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:39:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:40:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:41:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:42:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:43:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:44:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:45:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:46:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:47:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:48:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:49:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:50:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:51:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:52:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:53:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:54:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:55:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:56:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:57:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:58:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 04:59:59;32;0;2;12;6;2;3;0;1;1;1
