datetime;total_votes;redslot;tutabrain;pupsique;mama_p_zh;ZevB3K;gnom_vorchun;brammator;UncleDre;rockamark;KOCTOPE3
2018-12-12 09:59:58;95;37;22;3;3;4;3;0;2;0;2
2018-12-12 10:00:59;95;37;22;3;3;4;3;0;2;0;2
2018-12-12 10:01:58;97;37;23;3;3;5;3;0;2;0;2
2018-12-12 10:02:59;97;37;23;3;3;5;3;0;2;0;2
2018-12-12 10:03:59;97;37;23;3;3;5;3;0;2;0;2
2018-12-12 10:04:58;98;37;24;3;3;5;3;0;2;0;2
2018-12-12 10:05:59;99;37;25;3;3;5;3;0;2;0;2
2018-12-12 10:06:58;100;38;25;3;3;5;3;0;2;0;2
2018-12-12 10:07:59;100;38;25;3;3;5;3;0;2;0;2
2018-12-12 10:08:59;100;38;25;3;3;5;3;0;2;0;2
2018-12-12 10:09:58;100;38;25;3;3;5;3;0;2;0;2
2018-12-12 10:10:59;100;38;25;3;3;5;3;0;2;0;2
2018-12-12 10:11:59;100;38;25;3;3;5;3;0;2;0;2
2018-12-12 10:12:58;102;38;27;3;3;5;3;0;2;0;2
2018-12-12 10:13:59;102;38;27;3;3;5;3;0;2;0;2
2018-12-12 10:14:59;102;38;27;3;3;5;3;0;2;0;2
2018-12-12 10:15:58;103;38;27;3;3;5;3;0;2;2;0
2018-12-12 10:16:59;103;38;27;3;3;5;3;0;2;2;0
2018-12-12 10:17:59;104;38;28;3;3;5;3;0;2;2;0
2018-12-12 10:18:59;104;38;28;3;3;5;3;0;2;2;0
2018-12-12 10:19:58;105;39;28;3;3;5;3;0;2;2;0
2018-12-12 10:20:59;105;39;28;3;3;5;3;0;2;2;0
2018-12-12 10:21:59;105;39;28;3;3;5;3;0;2;2;0
2018-12-12 10:22:58;105;39;28;3;3;5;3;0;2;2;0
2018-12-12 10:23:59;106;39;29;3;3;5;3;0;2;2;0
2018-12-12 10:24:58;106;39;29;3;3;5;3;0;2;2;0
2018-12-12 10:25:59;106;39;29;3;3;5;3;0;2;2;0
2018-12-12 10:26:59;106;39;29;3;3;5;3;0;2;2;0
2018-12-12 10:28:00;106;39;29;3;3;5;3;0;2;2;0
2018-12-12 10:28:58;108;40;29;3;3;5;3;0;2;2;0
2018-12-12 10:29:59;108;40;29;3;3;5;3;0;2;2;0
2018-12-12 10:30:58;108;40;29;3;3;5;3;0;2;2;0
2018-12-12 10:31:59;108;40;29;3;3;5;3;0;2;2;0
2018-12-12 10:32:59;108;40;29;3;3;5;3;0;2;2;0
2018-12-12 10:33:58;108;40;29;3;3;5;3;0;2;2;0
2018-12-12 10:34:59;108;40;29;3;3;5;3;0;2;2;0
