datetime;total_votes;Hmmm;Mapm;Terkin;rockamark;bear49;praktik;S_Semenenko;quick_justice;BUG;brammator
2019-06-26 04:11:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:12:58;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:13:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:14:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:15:58;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:16:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:17:59;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:18:58;59;14;11;8;3;1;1;2;1;0;0
2019-06-26 04:19:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:20:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:21:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:22:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:23:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:24:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:26:00;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:26:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:27:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:28:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:29:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:30:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:31:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:32:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:33:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:34:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:35:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:36:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:37:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:38:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:39:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:40:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:41:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:42:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:43:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:44:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:45:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:46:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:47:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:48:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:49:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:50:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:51:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:52:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:53:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:54:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:55:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:56:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:57:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:58:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 04:59:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:00:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:01:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:02:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:03:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:04:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:05:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:06:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:07:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:08:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:09:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:10:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:11:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:12:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:13:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:14:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:15:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:16:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:17:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:18:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:19:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:20:58;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:21:59;59;14;11;7;3;1;1;3;1;0;0
2019-06-26 05:22:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:23:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:24:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:25:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:26:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:28:00;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:28:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:29:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:30:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:31:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:32:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:33:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:34:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:35:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:36:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:37:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:38:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:39:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:40:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:41:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:42:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:43:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:44:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:45:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:46:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:47:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:48:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:49:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:51:00;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:51:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:52:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:53:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:54:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:55:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:56:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:57:58;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:58:59;60;14;12;7;3;1;1;3;1;0;0
2019-06-26 05:59:58;59;14;12;7;3;1;1;3;1;0;0
2019-06-26 06:00:59;58;15;12;7;3;1;1;3;1;0;0
2019-06-26 06:01:59;58;15;12;7;3;1;1;3;1;0;0
2019-06-26 06:02:58;58;15;12;7;3;1;1;3;1;0;0
2019-06-26 06:03:59;58;15;12;7;3;1;1;3;1;0;0
2019-06-26 06:04:59;58;15;12;7;3;1;1;3;1;0;0
2019-06-26 06:05:59;58;15;12;7;3;1;1;3;1;0;0
2019-06-26 06:06:59;58;15;12;7;3;1;1;3;1;0;0
2019-06-26 06:07:59;58;15;12;7;3;1;1;3;1;0;0
2019-06-26 06:08:58;58;15;12;7;3;1;1;3;1;0;0
2019-06-26 06:09:59;58;15;12;7;3;1;1;3;1;0;0
2019-06-26 06:10:59;58;15;12;7;3;1;1;3;1;0;0
2019-06-26 06:11:58;59;15;12;7;3;1;1;3;1;0;0
2019-06-26 06:12:59;61;15;12;7;3;1;3;3;1;0;0
2019-06-26 06:13:58;61;15;12;7;3;1;3;3;1;0;0
2019-06-26 06:14:59;61;15;12;7;3;1;3;3;1;0;0
2019-06-26 06:15:59;61;15;12;7;3;1;3;3;1;0;0
2019-06-26 06:16:58;61;15;12;7;3;1;3;3;1;0;0
2019-06-26 06:17:59;61;15;12;7;3;1;3;3;1;0;0
2019-06-26 06:18:58;61;15;12;7;3;1;3;3;1;0;0
2019-06-26 06:19:59;61;15;12;7;3;1;3;3;1;0;0
2019-06-26 06:20:59;61;15;12;7;3;1;3;3;1;0;0
2019-06-26 06:21:58;61;15;12;7;3;1;3;3;1;0;0
2019-06-26 06:22:59;61;15;12;7;3;1;3;3;1;0;0
2019-06-26 06:23:59;62;15;13;7;3;1;3;3;1;0;0
