datetime;total_votes;Bf109H;Bruja_;navalny;Neymar_Junior;shamanka2_0;Der_Sturmer;roMoceK;Dirtylieutenant;kpya3e;quick_justice
2020-11-18 05:29:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:30:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:31:58;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:32:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:33:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:34:58;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:35:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:36:58;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:37:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:38:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:39:58;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:40:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:41:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:42:58;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:43:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:44:58;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:45:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:46:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:47:58;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:48:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:49:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:50:58;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:51:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:52:59;61;12;12;5;8;0;4;2;5;2;0
2020-11-18 05:53:59;63;13;12;5;8;0;4;2;5;2;0
2020-11-18 05:54:59;63;13;12;5;8;0;4;2;5;2;0
2020-11-18 05:55:58;63;13;12;5;8;0;4;2;5;2;0
2020-11-18 05:56:59;63;13;12;5;8;0;4;2;5;2;0
2020-11-18 05:57:59;63;13;12;5;8;0;4;2;5;2;0
2020-11-18 05:58:58;63;13;12;5;8;0;4;2;5;2;0
2020-11-18 05:59:59;63;13;12;5;8;0;4;2;5;2;0
2020-11-18 06:00:59;63;13;12;5;8;0;4;2;5;2;0
2020-11-18 06:01:58;63;13;12;5;8;0;4;2;5;2;0
2020-11-18 06:02:59;64;14;12;5;8;0;4;2;5;2;0
2020-11-18 06:03:59;64;14;12;5;8;0;4;2;5;2;0
2020-11-18 06:04:59;64;14;12;5;8;0;4;2;5;2;0
2020-11-18 06:05:59;64;14;12;5;8;0;4;2;5;2;0
2020-11-18 06:06:58;64;14;12;5;8;0;4;2;5;2;0
2020-11-18 06:07:59;64;14;12;5;8;0;4;2;5;2;0
2020-11-18 06:08:59;64;14;12;5;8;0;4;2;5;2;0
2020-11-18 06:09:58;64;14;12;5;8;0;4;2;5;2;0
2020-11-18 06:10:59;65;15;12;5;8;0;4;2;5;2;0
2020-11-18 06:11:59;65;15;12;5;8;0;4;2;5;2;0
2020-11-18 06:12:58;65;15;12;5;8;0;4;2;5;2;0
2020-11-18 06:13:59;65;15;12;5;8;0;4;2;5;2;0
2020-11-18 06:14:59;65;15;12;5;8;0;4;2;5;2;0
2020-11-18 06:15:58;66;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:16:59;66;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:17:59;66;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:18:58;66;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:19:59;66;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:20:58;66;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:21:59;66;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:22:59;67;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:23:58;67;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:24:59;67;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:25:59;67;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:26:58;68;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:27:59;68;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:28:59;68;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:29:58;68;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:30:59;68;15;13;5;8;0;4;2;5;2;0
2020-11-18 06:31:59;69;15;13;6;8;0;4;2;5;2;0
2020-11-18 06:32:58;69;15;13;6;8;0;4;2;5;2;0
2020-11-18 06:33:59;69;15;13;6;8;0;4;2;5;2;0
2020-11-18 06:34:59;69;15;13;6;8;0;4;2;5;2;0
2020-11-18 06:35:58;69;15;13;6;8;0;4;2;5;2;0
2020-11-18 06:36:59;69;15;13;6;8;0;4;2;5;2;0
2020-11-18 06:37:58;69;15;13;6;8;0;4;2;5;2;0
2020-11-18 06:38:59;69;15;13;6;8;0;4;2;5;2;0
2020-11-18 06:39:59;69;15;13;6;8;0;4;2;5;2;0
2020-11-18 06:40:58;69;15;13;6;8;0;4;2;5;2;0
2020-11-18 06:41:59;69;15;13;6;8;0;4;2;5;2;0
2020-11-18 06:42:59;69;15;13;6;8;0;4;2;5;2;0
2020-11-18 06:43:59;70;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:44:58;70;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:45:59;70;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:46:59;71;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:47:58;71;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:48:59;71;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:49:59;71;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:50:58;71;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:51:59;71;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:52:59;71;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:53:58;71;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:54:59;71;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:55:59;71;16;13;6;8;0;4;2;5;2;0
2020-11-18 06:56:58;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 06:57:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 06:58:58;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 06:59:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:00:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:01:58;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:02:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:03:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:04:58;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:05:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:06:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:07:58;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:08:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:09:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:10:58;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:11:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:12:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:13:58;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:14:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:15:58;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:16:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:17:59;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:18:58;72;17;13;6;8;0;4;2;5;2;0
2020-11-18 07:19:59;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:20:59;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:21:58;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:22:59;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:23:59;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:24:58;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:25:59;73;17;13;6;9;0;4;2;5;2;0
