datetime;total_votes;Yardrey;vdzrd;jovan;maria_ego;KOCTOPE3;Z-L-O;Есения;XASSA;ZevB3K;brammator
2018-12-19 03:59:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:00:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:01:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:02:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:03:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:04:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:05:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:06:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:07:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:08:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:09:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:10:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:11:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:12:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:13:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:14:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:15:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:16:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:17:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:18:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:19:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:20:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:21:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:22:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:23:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:24:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:25:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:26:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:27:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:28:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:29:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:30:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:31:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:32:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:33:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:34:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:35:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:36:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:37:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:38:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:39:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:40:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:41:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:42:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:43:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:44:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:45:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:46:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:47:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:48:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:49:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:50:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:51:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:52:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:53:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:54:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:55:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:56:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:57:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 04:58:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:00:00;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:00:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:01:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:02:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:03:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:04:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:05:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:06:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:07:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:08:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:09:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:10:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:11:58;47;10;9;7;0;2;3;4;0;1;0
