datetime;total_votes;bullet-wilson;nenastja;brammator;jovan;ante;space_meow;Hexadecachoron;zgushonka;minddiffuzion;Fitzmaurice
2020-03-04 06:08:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:09:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:10:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:11:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:12:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:13:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:14:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 06:15:58;39;20;7;5;0;0;0;2;1;1;1
2020-03-04 06:16:59;40;21;7;5;0;0;0;2;1;1;1
2020-03-04 06:17:59;40;21;7;5;0;0;0;2;1;1;1
2020-03-04 06:18:58;40;21;7;5;0;0;0;2;1;1;1
2020-03-04 06:19:59;40;21;7;5;0;0;0;2;1;1;1
2020-03-04 06:20:59;40;21;7;5;0;0;0;2;1;1;1
2020-03-04 06:21:58;40;21;7;5;0;0;0;2;1;1;1
2020-03-04 06:22:59;40;21;7;5;0;0;0;2;1;1;1
2020-03-04 06:23:59;40;21;7;5;0;0;0;2;1;1;1
2020-03-04 06:24:59;40;21;7;5;0;0;0;2;1;1;1
2020-03-04 06:25:58;40;21;7;5;0;0;0;2;1;1;1
2020-03-04 06:26:59;40;21;7;5;0;0;0;2;1;1;1
2020-03-04 06:27:59;40;21;7;5;0;0;0;2;1;1;1
2020-03-04 06:28:58;40;21;7;5;0;0;0;2;1;1;1
