datetime;total_votes;mad_crow;akuaku;Terkin;cmapukocmankypum;tutabrain;gelatelno;Fitzmaurice;navalny;Mr_Const;Nosy
2020-01-29 05:47:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:48:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:49:59;45;22;6;3;2;0;2;0;0;0;0
2020-01-29 05:50:59;45;22;6;3;2;0;2;0;0;0;0
2020-01-29 05:51:58;45;22;6;3;2;0;2;0;0;0;0
2020-01-29 05:52:59;45;22;6;3;2;0;2;0;0;0;0
2020-01-29 05:53:59;45;22;6;3;2;0;2;0;0;0;0
2020-01-29 05:54:58;45;22;6;3;2;0;2;0;0;0;0
2020-01-29 05:55:59;45;22;6;3;2;0;2;0;0;0;0
2020-01-29 05:56:59;45;22;6;3;2;0;2;0;0;0;0
2020-01-29 05:57:59;45;22;6;3;2;0;2;0;0;0;0
2020-01-29 05:58:58;45;22;6;3;2;0;2;0;0;0;0
2020-01-29 05:59:59;46;23;6;3;2;0;2;0;0;0;0
2020-01-29 06:00:59;46;23;6;3;2;0;2;0;0;0;0
2020-01-29 06:01:58;46;23;6;3;2;0;2;0;0;0;0
2020-01-29 06:02:59;46;23;6;3;2;0;2;0;0;0;0
2020-01-29 06:03:59;46;23;6;3;2;0;2;0;0;0;0
2020-01-29 06:04:58;46;23;6;3;2;0;2;0;0;0;0
2020-01-29 06:05:59;46;23;6;3;2;0;2;0;0;0;0
2020-01-29 06:06:59;46;23;6;3;2;0;2;0;0;0;0
2020-01-29 06:07:59;46;23;6;3;2;0;2;0;0;0;0
2020-01-29 06:08:58;46;23;6;3;2;0;2;0;0;0;0
2020-01-29 06:09:59;46;23;6;3;2;0;2;0;0;0;0
2020-01-29 06:10:59;46;23;6;3;2;0;2;0;0;0;0
2020-01-29 06:12:00;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:12:58;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:13:59;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:14:59;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:15:58;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:16:59;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:17:59;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:18:58;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:19:59;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:20:59;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:21:58;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:22:59;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:23:59;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:24:59;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:25:58;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:26:59;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:27:59;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:28:58;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:29:59;47;24;6;3;2;0;2;0;0;0;0
2020-01-29 06:30:58;47;24;6;3;2;0;2;0;0;0;0
