datetime;total_votes;SuokSuok;cofee;Der_Sturmer;brammator;asap;DrumBox;Z-L-O;rockamark;voklo;kotophalk
2019-09-11 05:32:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:33:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:34:58;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:35:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:36:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:37:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:38:58;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:39:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:40:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:42:00;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:42:58;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:44:00;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:44:58;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:45:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:46:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:47:58;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:48:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:49:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:50:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:51:58;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:52:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:53:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:54:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:55:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:56:58;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:57:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:58:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 05:59:58;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 06:00:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 06:01:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 06:02:59;41;5;6;7;4;3;0;3;2;3;0
2019-09-11 06:03:58;41;5;6;7;4;3;0;3;2;3;0
