datetime;total_votes;Deneo;akuaku;navalny;gelatelno;XASSA;lublu-zubi;Bleak;Есения;BoobkaGop;xiro
2019-10-02 04:47:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:48:58;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:49:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:50:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:51:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:52:58;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:53:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:54:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:55:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:56:58;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:57:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:58:58;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 04:59:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 05:00:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 05:01:58;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 05:02:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 05:03:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 05:04:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 05:05:58;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 05:06:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 05:07:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 05:08:59;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 05:09:58;32;0;7;2;8;4;2;2;0;0;0
2019-10-02 05:10:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:11:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:12:58;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:13:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:14:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:15:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:16:58;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:17:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:18:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:19:58;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:20:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:21:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:22:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:23:58;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:24:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:25:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:26:58;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:27:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:28:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:29:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:30:58;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:31:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:32:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:33:58;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:34:59;33;0;7;2;8;5;2;2;0;0;0
