datetime;total_votes;Fill;kross;navalny;Hexadecachoron;KOCTOPE3;Der_Sturmer;Jey;ksolotl;Shady;Есения
2020-08-05 05:08:58;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:09:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:10:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:11:58;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:12:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:13:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:14:58;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:15:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:16:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:17:58;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:18:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:19:58;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:20:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:21:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:22:58;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:24:00;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:24:58;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:25:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:26:59;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:27:58;42;4;8;9;2;2;4;0;2;0;0
2020-08-05 05:28:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:29:58;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:30:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:31:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:32:58;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:33:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:34:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:35:58;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:36:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:37:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:38:58;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:39:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:40:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:41:58;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:42:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:43:58;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:44:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:45:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:46:58;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:47:59;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:48:58;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:50:00;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:50:58;43;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:51:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:52:58;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:53:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:54:58;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:55:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:56:58;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:57:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:58:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 05:59:58;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:00:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:01:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:02:58;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:03:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:04:58;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:05:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:06:58;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:07:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:08:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:09:58;45;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:10:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:11:58;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:12:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:13:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:14:58;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:15:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:16:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:17:58;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:18:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:19:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:20:58;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:21:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:22:58;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:23:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:24:59;44;4;8;9;3;2;4;0;2;0;0
2020-08-05 06:25:58;45;4;9;9;3;2;4;0;2;0;0
2020-08-05 06:26:59;46;4;9;9;3;2;4;0;2;1;0
2020-08-05 06:27:58;46;4;9;9;3;2;4;0;2;1;0
2020-08-05 06:28:59;46;4;9;9;3;2;4;0;2;1;0
2020-08-05 06:29:59;46;4;9;9;3;2;4;0;2;1;0
