datetime;total_votes;xromota;1917;KOCTOPE3;paramed;nzr;Schopenhauer;kiLstrom;bf6;Salt;Hexadecachoron
2019-11-27 07:16:00;46;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:16:58;46;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:17:59;46;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:18:59;46;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:19:58;46;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:20:59;47;11;12;0;0;2;3;3;0;0;0
2019-11-27 07:21:59;48;12;12;0;0;2;3;3;0;0;0
2019-11-27 07:22:58;48;12;12;0;0;2;3;3;0;0;0
2019-11-27 07:23:59;48;12;12;0;0;2;3;3;0;0;0
2019-11-27 07:24:59;48;12;12;0;0;2;3;3;0;0;0
2019-11-27 07:25:58;48;12;12;0;0;2;3;3;0;0;0
2019-11-27 07:26:59;48;12;12;0;0;2;3;3;0;0;0
2019-11-27 07:27:59;48;12;12;0;0;2;3;3;0;0;0
2019-11-27 07:28:59;48;12;12;0;0;2;3;3;0;0;0
2019-11-27 07:29:58;49;12;12;1;0;2;3;3;0;0;0
2019-11-27 07:30:59;49;12;12;1;0;2;3;3;0;0;0
2019-11-27 07:31:59;49;12;12;1;0;2;3;3;0;0;0
2019-11-27 07:32:58;49;12;12;1;0;2;3;3;0;0;0
2019-11-27 07:33:59;49;12;12;1;0;2;3;3;0;0;0
2019-11-27 07:34:59;49;12;12;1;0;2;3;3;0;0;0
2019-11-27 07:35:58;49;12;12;1;0;2;3;3;0;0;0
2019-11-27 07:36:59;49;12;12;1;0;2;3;3;0;0;0
2019-11-27 07:37:59;49;12;12;1;0;2;3;3;0;0;0
2019-11-27 07:38:58;49;12;12;1;0;2;3;3;0;0;0
2019-11-27 07:39:59;50;12;13;1;0;2;3;3;0;0;0
2019-11-27 07:40:59;50;12;13;1;0;2;3;3;0;0;0
