datetime;total_votes;Helengar;atomic_gun;Есения;jovan;Hexadecachoron;kotophalk;KOCTOPE3;Zibx;otlup;Klubnichnoe_Milo
2020-02-19 05:18:58;46;15;16;4;2;3;1;2;0;0;0
2020-02-19 05:19:59;46;15;16;4;2;3;1;2;0;0;0
2020-02-19 05:20:59;46;15;16;4;2;3;1;2;0;0;0
2020-02-19 05:21:58;46;15;16;4;2;3;1;2;0;0;0
2020-02-19 05:22:59;46;15;16;4;2;3;1;2;0;0;0
2020-02-19 05:23:59;46;15;16;4;2;3;1;2;0;0;0
2020-02-19 05:25:00;46;15;16;4;2;3;1;2;0;0;0
2020-02-19 05:25:58;47;15;17;4;2;3;1;2;0;0;0
2020-02-19 05:26:59;47;15;17;4;2;3;1;2;0;0;0
2020-02-19 05:27:59;48;16;17;4;2;3;1;2;0;0;0
2020-02-19 05:28:58;48;16;17;4;2;3;1;2;0;0;0
2020-02-19 05:29:59;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:30:58;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:31:59;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:32:59;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:33:58;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:34:59;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:35:59;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:36:58;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:37:59;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:38:58;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:39:59;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:40:59;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:41:59;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:42:58;49;16;18;4;2;3;1;2;0;0;0
2020-02-19 05:43:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:44:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:45:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:46:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:47:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:48:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:49:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:50:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:51:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:52:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:53:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:54:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:55:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:56:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:57:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:58:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 05:59:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:00:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:02:00;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:02:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:03:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:04:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:05:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:06:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:07:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:08:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:09:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:10:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:11:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:12:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:13:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:14:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:15:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:16:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:17:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:18:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:19:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:20:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:21:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:22:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:23:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:24:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:25:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:26:59;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:27:58;50;16;19;4;2;3;1;2;0;0;0
2020-02-19 06:28:59;50;16;19;4;2;3;1;2;0;0;0
