datetime;total_votes;Tae4ka;phoenyxxx;navalny;ZevB3K;Alterdino;Der_Sturmer;rodeo;Noop;phb4;bf6
2019-08-14 04:45:58;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:46:59;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:47:59;70;17;11;0;2;8;3;5;5;3;0
2019-08-14 04:48:58;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 04:49:59;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 04:50:59;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 04:51:58;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 04:52:59;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 04:53:59;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 04:54:58;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 04:55:59;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 04:56:58;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 04:57:59;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 04:58:59;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 04:59:58;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 05:00:59;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 05:01:59;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 05:02:58;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 05:03:59;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 05:04:58;71;18;11;0;2;8;3;5;5;3;0
2019-08-14 05:05:59;72;19;11;0;2;8;3;5;5;3;0
2019-08-14 05:06:59;72;19;11;0;2;8;3;5;5;3;0
2019-08-14 05:07:58;72;19;11;0;2;8;3;5;5;3;0
2019-08-14 05:08:59;72;19;11;0;2;8;3;5;5;3;0
2019-08-14 05:09:59;72;19;11;0;2;8;3;5;5;3;0
2019-08-14 05:10:58;72;19;11;0;2;8;3;5;5;3;0
2019-08-14 05:11:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:12:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:13:58;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:14:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:15:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:16:58;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:17:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:18:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:19:58;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:20:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:21:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:22:58;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:23:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:24:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:25:58;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:26:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:27:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:28:58;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:29:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:30:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:31:58;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:32:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:33:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:34:58;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:35:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:36:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:37:58;73;19;11;0;2;9;3;5;5;3;0
