datetime;total_votes;Mindsplitter;Wiedemann;Tomintoul;KOCTOPE3;Terkin;axxl;Есения;jakesnake;vprock;quick_justice
2021-02-03 05:06:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:07:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:08:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:09:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:10:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:11:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:12:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:13:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:14:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:15:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:16:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:17:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:18:58;64;14;9;20;2;6;1;0;0;1;0
2021-02-03 05:19:59;64;14;9;20;2;6;1;0;0;1;0
2021-02-03 05:20:59;64;14;9;20;2;6;1;0;0;1;0
2021-02-03 05:21:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:22:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:23:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:24:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:25:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:26:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:27:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:28:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:29:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:30:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:32:00;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:32:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:33:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:34:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:35:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:36:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:37:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:38:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:39:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:40:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:41:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:42:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:43:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:44:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:45:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:46:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:47:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:48:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:49:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:50:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:51:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:52:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:53:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:54:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:55:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:56:58;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:57:59;64;15;8;20;2;6;1;0;0;1;0
2021-02-03 05:58:58;65;15;8;20;2;6;2;0;0;1;0
2021-02-03 05:59:59;65;15;8;20;2;6;2;0;0;1;0
2021-02-03 06:00:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:01:58;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:02:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:03:58;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:04:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:05:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:06:58;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:07:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:08:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:09:58;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:10:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:11:58;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:12:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:13:58;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:14:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:15:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:16:58;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:17:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:18:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:19:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:20:58;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:21:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:22:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:23:58;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:24:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:25:59;66;16;8;20;2;6;2;0;0;1;0
2021-02-03 06:26:58;67;16;8;21;2;6;2;0;0;1;0
2021-02-03 06:27:59;67;16;8;21;2;6;2;0;0;1;0
2021-02-03 06:28:59;67;16;8;21;2;6;2;0;0;1;0
2021-02-03 06:29:58;67;16;8;21;2;6;2;0;0;1;0
