datetime;total_votes;leprovalentin;Grit;АНАРХИЯ;KOCTOPE3;shamanka2_1;Wiedemann;Rumpelstilzchen;ruweb;Finsternis;shturn
2021-02-10 04:06:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 04:07:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 04:08:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 04:09:59;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 04:10:58;53;0;14;10;7;1;0;7;1;2;0
2021-02-10 04:11:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:12:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:13:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:14:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:15:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:16:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:17:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:18:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:19:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:20:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:21:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:22:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:23:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:24:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:25:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:26:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:27:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:28:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:29:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:30:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:31:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:32:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:33:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:35:00;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:35:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:36:59;54;0;14;10;7;2;0;7;1;2;0
