datetime;total_votes;thaisia_b;Есения;pupsique;Wiedemann;Terkin;voklo;Bf109H;XASSA;uisky;akuaku
2019-06-05 03:12:58;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:13:59;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:14:59;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:15:58;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:16:59;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:17:58;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:18:59;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:19:59;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:20:58;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:21:59;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:22:59;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:23:58;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:24:59;43;5;9;0;3;3;8;5;0;3;0
2019-06-05 03:25:59;44;5;9;0;3;4;8;5;0;3;0
2019-06-05 03:26:58;44;5;9;0;3;4;8;5;0;3;0
2019-06-05 03:27:59;44;5;9;0;3;4;8;5;0;3;0
2019-06-05 03:28:59;44;5;9;0;3;4;8;5;0;3;0
2019-06-05 03:29:58;44;5;9;0;3;4;8;5;0;3;0
2019-06-05 03:30:59;44;5;9;0;3;4;8;5;0;3;0
2019-06-05 03:31:59;44;5;9;0;3;4;8;5;0;3;0
2019-06-05 03:32:58;44;5;9;0;3;4;8;5;0;3;0
2019-06-05 03:33:59;44;5;9;0;3;4;8;5;0;3;0
2019-06-05 03:34:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:35:58;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:36:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:37:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:38:58;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:39:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:40:58;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:41:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:42:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:43:58;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:44:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:45:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:47:00;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:47:58;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:48:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:49:58;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:50:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:51:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:52:58;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:53:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:54:59;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:55:58;45;6;9;0;3;4;8;5;0;3;0
2019-06-05 03:56:59;46;6;9;0;3;4;9;5;0;3;0
2019-06-05 03:57:59;46;6;9;0;3;4;9;5;0;3;0
2019-06-05 03:58:58;46;6;9;0;3;4;9;5;0;3;0
2019-06-05 03:59:59;46;6;9;0;3;4;9;5;0;3;0
2019-06-05 04:00:59;46;6;9;0;3;4;9;5;0;3;0
2019-06-05 04:01:58;46;6;9;0;3;4;9;5;0;3;0
2019-06-05 04:02:59;46;6;9;0;3;4;9;5;0;3;0
2019-06-05 04:03:59;46;6;9;0;3;4;9;5;0;3;0
2019-06-05 04:04:58;46;6;9;0;3;4;9;5;0;3;0
2019-06-05 04:05:59;46;6;9;0;3;4;9;5;0;3;0
2019-06-05 04:06:58;46;6;9;0;3;4;9;5;0;3;0
2019-06-05 04:07:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:09:00;47;6;9;0;3;4;9;6;0;3;0
