datetime;total_votes;Shambala;daruta;pupsique;kilogramm;UncleDre;kuznet;Есения;norpo;mama_p_zh;brammator
2019-03-06 03:38:58;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:39:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:40:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:41:58;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:42:59;48;18;8;0;4;0;2;0;3;0;0
2019-03-06 03:44:00;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:44:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:45:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:46:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:47:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:48:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:49:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:50:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:51:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:52:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:53:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:54:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:55:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:56:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:57:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:58:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 03:59:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:00:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:01:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:02:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:03:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:04:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:05:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:06:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:07:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:08:59;49;19;8;0;4;0;2;0;3;0;0
