datetime;total_votes;Mapm;GlobetrotterXL;Hmmm;NoEndOutcry;John_Golt;Yo;brammator;sergoff;Salt;Wiedemann
2019-07-03 04:44:58;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:45:59;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:46:58;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:47:59;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:48:59;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:49:59;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:50:58;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:51:59;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:52:58;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:53:59;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:54:59;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:55:58;37;6;9;6;0;0;2;2;2;0;1
2019-07-03 04:56:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 04:57:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 04:58:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 04:59:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:00:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:01:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:02:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:03:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:04:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:05:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:06:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:07:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:08:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:09:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:10:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:12:00;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:12:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:13:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:14:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:15:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:16:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:17:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:18:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:19:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:20:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:21:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:22:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:23:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:24:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:25:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:26:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:27:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:28:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:29:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:30:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:31:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:32:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:33:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:34:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:35:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:36:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:37:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:38:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:39:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:40:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:41:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:42:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:43:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:44:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:45:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:46:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:47:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:48:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:49:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:50:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:51:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:52:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:53:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:54:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:55:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:56:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:57:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:58:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 05:59:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 06:00:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 06:01:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 06:02:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 06:03:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 06:04:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 06:05:59;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 06:06:58;38;7;9;6;0;0;2;2;2;0;1
2019-07-03 06:07:59;39;7;10;6;0;0;2;2;2;0;1
2019-07-03 06:08:58;39;7;10;6;0;0;2;2;2;0;1
2019-07-03 06:09:59;39;7;10;6;0;0;2;2;2;0;1
2019-07-03 06:10:59;39;7;10;6;0;0;2;2;2;0;1
2019-07-03 06:11:58;39;7;10;6;0;0;2;2;2;0;1
2019-07-03 06:12:59;39;7;10;6;0;0;2;2;2;0;1
2019-07-03 06:13:59;39;7;10;6;0;0;2;2;2;0;1
2019-07-03 06:14:58;39;7;10;6;0;0;2;2;2;0;1
2019-07-03 06:15:59;39;7;10;6;0;0;2;2;2;0;1
2019-07-03 06:16:58;40;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:17:59;40;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:18:59;40;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:19:58;40;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:20:59;40;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:22:00;40;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:22:58;40;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:23:59;40;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:24:58;40;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:25:59;40;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:26:59;40;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:27:58;41;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:28:59;41;7;10;6;0;0;2;2;3;0;1
2019-07-03 06:29:59;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:30:58;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:31:59;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:32:58;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:33:59;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:34:59;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:35:58;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:36:59;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:37:58;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:38:59;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:39:59;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:40:58;42;8;10;6;0;0;2;2;3;0;1
