datetime;total_votes;nenastja;SuokSuok;Wiedemann;voklo;bigmouse;DrumBox;ielarud;rockamark;reasonspace;am_vrn
2019-08-28 08:53:59;64;21;2;8;8;3;5;2;2;2;2
2019-08-28 08:54:59;64;21;2;8;8;3;5;2;2;2;2
2019-08-28 08:55:59;64;21;2;8;8;3;5;2;2;2;2
2019-08-28 08:56:58;65;21;3;8;8;3;5;2;2;2;2
2019-08-28 08:57:59;65;21;3;8;8;3;5;2;2;2;2
2019-08-28 08:58:59;65;21;3;8;8;3;5;2;2;2;2
2019-08-28 08:59:58;65;21;3;8;8;3;5;2;2;2;2
2019-08-28 09:00:59;65;21;3;8;8;3;5;2;2;2;2
2019-08-28 09:01:59;65;21;4;8;8;3;5;2;2;2;2
2019-08-28 09:02:59;65;21;4;8;8;3;5;2;2;2;2
2019-08-28 09:03:58;65;21;4;8;8;3;5;2;2;2;2
2019-08-28 09:04:59;65;21;4;8;8;3;5;2;2;2;2
2019-08-28 09:05:59;65;21;4;8;8;3;5;2;2;2;2
2019-08-28 09:06:59;65;21;4;8;8;3;5;2;2;2;2
2019-08-28 09:07:58;65;21;4;8;8;3;5;2;2;2;2
2019-08-28 09:08:59;66;21;5;8;8;3;5;2;2;2;2
2019-08-28 09:09:59;66;21;5;8;8;3;5;2;2;2;2
2019-08-28 09:10:59;66;21;5;8;8;3;5;2;2;2;2
2019-08-28 09:11:58;66;21;5;8;8;3;5;2;2;2;2
2019-08-28 09:12:59;66;21;5;8;8;3;5;2;2;2;2
2019-08-28 09:13:59;66;21;5;8;8;3;5;2;2;2;2
2019-08-28 09:14:59;67;21;5;8;8;4;5;2;2;2;2
2019-08-28 09:15:58;67;21;5;8;8;4;5;2;2;2;2
2019-08-28 09:16:59;69;22;6;8;8;4;5;2;2;2;2
2019-08-28 09:18:00;69;22;6;8;8;4;5;2;2;2;2
2019-08-28 09:18:58;69;22;6;8;8;4;5;2;2;2;2
2019-08-28 09:19:59;70;22;7;8;8;4;5;2;2;2;2
