datetime;total_votes;Oleum;Grit;KOCTOPE3;Dirtylieutenant;UndeadMoroz;Bruja_;a5urbanipa1;raaxiom;napa3um;1917
2020-12-30 06:05:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:06:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:07:58;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:08:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:09:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:10:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:11:58;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:12:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:13:58;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:14:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:15:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:16:58;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:17:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:18:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:19:58;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:20:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:21:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:22:58;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:23:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:24:58;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:25:59;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:26:58;64;14;22;1;3;3;3;0;2;0;2
2020-12-30 06:27:59;65;15;22;1;3;3;3;0;2;0;2
2020-12-30 06:28:58;65;15;22;1;3;3;3;0;2;0;2
