datetime;total_votes;leprovalentin;Plancus;daruta;KOCTOPE3;Rumpelstilzchen;yachik;Есения;X-Rayer;pupsique;madcore
2019-02-20 05:36:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:37:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:38:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:39:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:40:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:41:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:42:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:43:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:44:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:45:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:46:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:47:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:48:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:49:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:50:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:51:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:52:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:53:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:54:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:55:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:56:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:57:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:58:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 05:59:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 06:00:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 06:01:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 06:02:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 06:03:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 06:04:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 06:05:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 06:06:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 06:07:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 06:08:59;45;11;14;7;2;3;2;0;0;0;1
