datetime;total_votes;heroin;Rumpelstilzchen;1917;navalny;Zippymax;quick_justice;shamanka2_0;Fill;HugoStiglitz;UndeadMoroz
2020-10-14 05:40:59;61;9;17;12;1;0;2;3;0;5;0
2020-10-14 05:41:59;62;9;17;12;1;0;2;4;0;5;0
2020-10-14 05:42:58;62;9;17;12;1;0;2;4;0;5;0
2020-10-14 05:43:59;62;9;17;12;1;0;2;4;0;5;0
2020-10-14 05:44:59;62;9;17;12;1;0;2;4;0;5;0
2020-10-14 05:45:58;62;9;17;12;1;0;2;4;0;5;0
2020-10-14 05:46:59;62;9;17;12;1;0;2;4;0;5;0
2020-10-14 05:47:59;62;9;17;12;1;0;2;4;0;5;0
2020-10-14 05:48:58;62;9;17;12;1;0;2;4;0;5;0
2020-10-14 05:49:59;62;9;17;12;1;0;2;4;0;5;0
2020-10-14 05:50:59;62;9;17;12;1;0;2;4;0;5;0
2020-10-14 05:51:58;63;9;18;12;1;0;2;4;0;5;0
2020-10-14 05:52:59;64;9;18;12;1;0;2;4;0;5;0
2020-10-14 05:53:59;64;9;18;12;1;0;2;4;0;5;0
2020-10-14 05:54:58;64;9;18;12;1;0;2;4;0;5;0
2020-10-14 05:55:59;64;9;18;12;1;0;2;4;0;5;0
2020-10-14 05:56:59;64;9;18;12;1;0;2;4;0;5;0
2020-10-14 05:57:58;64;9;18;12;1;0;2;4;0;5;0
2020-10-14 05:58:59;64;9;18;12;1;0;2;4;0;5;0
2020-10-14 05:59:58;64;9;18;12;1;0;2;4;0;5;0
2020-10-14 06:00:59;64;9;18;12;1;0;2;4;0;5;0
2020-10-14 06:01:59;65;10;18;12;1;0;2;4;0;5;0
2020-10-14 06:02:58;65;10;18;12;1;0;2;4;0;5;0
2020-10-14 06:03:59;65;10;18;12;1;0;2;4;0;5;0
2020-10-14 06:04:59;65;10;18;12;1;0;2;4;0;5;0
2020-10-14 06:05:59;65;10;18;12;1;0;2;4;0;5;0
2020-10-14 06:06:58;65;10;18;12;1;0;2;4;0;5;0
2020-10-14 06:07:59;65;10;18;12;1;0;2;4;0;5;0
2020-10-14 06:08:58;65;10;18;12;1;0;2;4;0;5;0
