datetime;total_votes;Shambala;quick_justice;KOCTOPE3;shamanka2_1;Rumpelstilzchen;NAFA;Dirtylieutenant;EMAILWARENFABRIK;Есения;a5urbanipa1
2021-02-17 04:43:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:44:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:45:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:46:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:47:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 04:48:59;46;3;13;5;0;8;0;0;0;2;0
2021-02-17 04:49:59;46;3;13;5;0;8;0;0;0;2;0
2021-02-17 04:50:58;46;3;13;5;0;8;0;0;0;2;0
2021-02-17 04:51:59;46;3;13;5;0;8;0;0;0;2;0
2021-02-17 04:52:58;46;3;13;5;0;8;0;0;0;2;0
2021-02-17 04:53:59;46;3;13;5;0;8;0;0;0;2;0
2021-02-17 04:54:58;46;3;13;5;0;8;0;0;0;2;0
2021-02-17 04:55:59;46;3;13;5;0;8;0;0;0;2;0
2021-02-17 04:56:58;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 04:57:59;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 04:58:59;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 04:59:58;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:00:59;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:01:59;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:02:58;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:03:59;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:04:58;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:05:59;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:06:59;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:07:58;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:08:59;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:09:58;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:10:59;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:11:58;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:12:59;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:13:59;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:14:58;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:15:59;47;3;13;5;0;8;0;0;0;2;0
2021-02-17 05:17:00;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:17:58;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:18:59;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:20:00;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:20:58;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:21:59;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:22:59;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:23:58;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:24:59;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:25:59;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:26:58;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:27:59;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:28:59;48;4;13;5;0;8;0;0;0;2;0
