datetime;total_votes;xtal;tutabrain;KOCTOPE3;Krokodilov_Gena;Tae4ka;bf6;brammator;kiLstrom;Mapm;kotophalk
2019-11-13 04:36:58;48;10;9;7;4;0;0;0;0;0;2
2019-11-13 04:37:59;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:38:59;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:39:58;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:40:59;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:41:59;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:42:58;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:43:59;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:44:59;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:45:59;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:46:58;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:47:59;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:48:59;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:49:59;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:50:58;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:51:59;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:52:59;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:53:58;49;10;9;7;4;0;0;1;1;0;2
2019-11-13 04:54:59;50;11;9;7;4;0;0;1;1;0;2
2019-11-13 04:55:59;50;11;9;7;4;0;0;1;1;0;2
2019-11-13 04:56:58;50;11;9;7;4;0;0;1;1;0;2
2019-11-13 04:57:59;50;11;9;7;4;0;0;1;1;0;2
2019-11-13 04:58:59;50;11;9;7;4;0;0;1;1;0;2
2019-11-13 04:59:58;51;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:00:59;51;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:01:59;51;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:02:58;51;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:03:59;51;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:04:59;51;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:05:58;51;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:06:59;51;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:07:59;51;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:08:59;51;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:09:58;51;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:10:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:11:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:12:58;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:13:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:14:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:15:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:16:58;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:17:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:18:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:19:58;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:20:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:21:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:22:58;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:23:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:24:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:25:58;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:26:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:27:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:28:58;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:29:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:30:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:31:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:32:58;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:33:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:34:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:35:58;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:36:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:37:59;52;11;10;7;4;0;0;1;1;0;2
2019-11-13 05:38:58;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:39:59;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:40:59;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:41:58;53;12;10;7;4;0;0;1;1;0;2
