datetime;total_votes;Hemml;KOCTOPE3;pupsique;Patagonia;megalomaniac;Palad1n;Gugomat;jovan;Есения;Der_Sturmer
2019-04-17 04:50:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:51:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:52:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:53:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:54:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:55:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:56:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:57:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:58:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 04:59:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:00:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:01:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:02:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:03:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:04:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:05:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:06:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:07:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:08:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:09:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:10:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:11:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:12:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:13:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:14:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:15:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:16:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:17:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:18:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:19:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:20:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:21:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:22:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:23:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:24:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:25:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:26:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:27:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:28:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:29:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:30:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:31:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:32:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:33:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:34:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:35:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:36:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:37:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:38:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:39:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:40:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:41:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:42:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:43:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:44:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:45:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:46:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:47:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:48:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:49:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:50:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:51:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:52:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:53:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:54:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:55:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:56:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:57:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:58:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 05:59:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:00:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:01:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:02:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:03:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:04:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:05:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:06:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:07:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:08:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:09:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:10:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:11:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:12:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:13:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:14:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:15:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:16:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:17:59;37;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:18:58;37;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:19:59;37;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:20:58;37;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:21:59;37;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:22:59;37;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:23:58;37;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:24:59;37;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:25:59;37;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:26:58;37;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:27:59;37;0;5;2;7;0;4;4;0;0;2
2019-04-17 06:28:59;37;0;5;2;7;0;4;4;0;0;2
